pair_id,type,a_id,a_name,b_id,b_name,same_probability,part_of_probability,tier,survivor_suggestion,reasons,a_desc_excerpt,b_desc_excerpt
argument_origen_witness_diss_precession_equinoxes_amand1945__argument_origen_witness_diss_problem3_human_ignorance_amand1945,argument,argument_origen_witness_diss_precession_equinoxes_amand1945,Origène — Précession des équinoxes mobilisée contre l'astrologie scientifique (Amand 1945),argument_origen_witness_diss_problem3_human_ignorance_amand1945,Origène — Problème 3 : ignorance humaine des signes (4 arguments) (Amand 1945),0.19,0.92,<=0.3,argument_origen_witness_diss_problem3_human_ignorance_amand1945,description_token_overlap,"Amand (p. 314) [specific sub-theme drawn from Problem 3]: Amand emphasizes the exceptional scientific-philological significance of Origen's argument. Origen distinguishes (Phil. 23.18, Robinson p. 206","Amand (p. 313-315): Problem 3 — Man cannot acquire exact knowledge of the events and human actions foretold by astral configurations. Four arguments (Phil. 23.17-19, Robinson p. 205-208): (1) Imprecis"
pub_biryukov_2023_comprehension_of_the_historical_process_in_the_theological_herit__pub_hadot_1992_citadelle_interieure,publication,pub_biryukov_2023_comprehension_of_the_historical_process_in_the_theological_herit,Arseniy Biryukov 2023 — Comprehension of the historical process in the theological heritage of Origen of Alexandria,pub_hadot_1992_citadelle_interieure,Hadot 1992 — La Citadelle intérieure. Introduction aux Pensées de Marc Aurèle,0.07,0.92,<=0.3,pub_hadot_1992_citadelle_interieure,description_token_overlap,"Introduction. Origen of Alexandria is a large Christian thinker who worked in line with the philosophy of Platonism, Neoplatonism and the emerging Christian tradition. He is a significant figure, both","Pierre Hadot, *La Citadelle intérieure. Introduction aux Pensées de Marc Aurèle*, Paris: Fayard, 1992 (rééd. 1997, 2002 LGF Poche), ISBN 978-2-213-02984-9. Hadot's masterwork, the culmination of more "
work_theophilus_ad_autolycum_book2__work_theophilus_ad_autolycum_sc20,work,work_theophilus_ad_autolycum_book2,"Theophilus, Ad Autolycum Book 2",work_theophilus_ad_autolycum_sc20,Ad Autolycum (SC 20),0.32,0.91,0.3-0.7,work_theophilus_ad_autolycum_book2,description_token_overlap;label_token_overlap,"Second book of Theophilus's three-book apologetic work addressed to pagan Autolycus. Contains pioneering articulation of νήπιος doctrine in chapters 25-28, arguing Adam existed as literal infant at cr",Title: To Autolycus (Πρὸς Αὐτόλυκον) Author: Theophilus of Antioch Date: c. 180 CE Edition: Sources Chrétiennes 20 (Bardy) Contents relevant to free will: Book II.27: Creation and Adamic freedom. Inte
work_chrysostom_hom_romans__work_origen_commentary_romans,work,work_chrysostom_hom_romans,"John Chrysostom, Homiliae in Epistulam ad Romanos (Homilies on Romans)",work_origen_commentary_romans,Commentary on Romans (Commentarii in Epistulam ad Romanos),0.68,0.91,0.3-0.7,work_origen_commentary_romans,description_token_overlap;label_token_overlap,"John Chrysostom's series of 32 homilies on Paul's Epistle to the Romans (PG 60, 391–682), delivered at Antioch between c. 391 and c. 397 CE while Chrysostom was still presbyter under bishop Flavian. T","Origen's Commentary on Romans (c. 246 CE) is the oldest extant Romans commentary, surviving in Rufinus's substantially abridged Latin translation (c. 405 CE; the original 15 books were reduced to 10)."
argument_philo_de_providentia_argument_envelope_amand1945__argument_philo_de_providentia_moral_responsibility_amand1945,argument,argument_philo_de_providentia_argument_envelope_amand1945,Argument-cadre Philon De prov. I.77-88 — l'enveloppe quadripartite de la diatribe antifataliste,argument_philo_de_providentia_moral_responsibility_amand1945,"Premier argument antifataliste du Περὶ προνοίας I, 78-83 — chef moral (Philon, témoin n°1 d'Amand)",0.09,0.91,<=0.3,argument_philo_de_providentia_moral_responsibility_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 84-85, ll. 5371-5394) within Philo's Περὶ προνοίας I, 77-88. According to Amand, Philo ""sets out arguments whose Neo-Academic origin Wendla","First of the four anti-fatalist arguments in Philo’s Περὶ προνοίας (according to Amand, p. 85-93, ll. 5395-5917), regarded by him as “the most powerful, most decisive proof against fatalism.” This arg"
argument_firmicus_witness3_envelope_amand1945__argument_firmicus_witness3_virtue_vain_under_stars_amand1945,argument,argument_firmicus_witness3_envelope_amand1945,"Argument-cadre du témoin n°3 Firmicus Mathesis I, 2, 5-11 — enveloppe tripartite de la diatribe antifataliste",argument_firmicus_witness3_virtue_vain_under_stars_amand1945,"Témoin n°3 (Firmicus Math I, 2, 5-7) — Premier argument : effort de vertu vain sous les constellations",0.11,0.9,<=0.3,argument_firmicus_witness3_envelope_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 185-188, ll. 10500-10791) within Firmicus Mathesis I, 2, 5-11 (Kroll-Skutsch I p. 7 l. 8 — p. 9 l. 4). Witness no. 3 articulates three casc","First anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 5-7 (Kroll-Skutsch I p. 7 l. 8 — p. 8) by Amand 1945 (analysis p. 185-186, Latin text p. 186-187). Main theme of witness no."
argument_firmicus_witness3_envelope_amand1945__argument_firmicus_witness3_laws_abrogated_amand1945,argument,argument_firmicus_witness3_envelope_amand1945,"Argument-cadre du témoin n°3 Firmicus Mathesis I, 2, 5-11 — enveloppe tripartite de la diatribe antifataliste",argument_firmicus_witness3_laws_abrogated_amand1945,"Témoin n°3 (Firmicus Math I, 2, 10-11) — Troisième argument : abrogation des lois et droits du magistrat",0.23,0.9,<=0.3,argument_firmicus_witness3_envelope_amand1945,description_token_overlap;label_token_overlap,"General argumentative framework identified by Amand 1945 (p. 185-188, ll. 10500-10791) within Firmicus Mathesis I, 2, 5-11 (Kroll-Skutsch I p. 7 l. 8 — p. 9 l. 4). Witness no. 3 articulates three casc","Third anti-fatalist moral argument reconstructed in Firmicus Mathesis I, 2, 10-11 (Kroll-Skutsch I p. 8 l. 25 — p. 9 l. 4) by Amand 1945 (analysis p. 186, Latin text p. 187-188). Legislative-juridical"
pub_bobichon_2003_justin_dialogue_tryphon__scholarly_work_bobichon_2003_justin_martyr_dialogue_avec_tryphon_diti,publication,pub_bobichon_2003_justin_dialogue_tryphon,"Bobichon, P. (2003). Justin Martyr: Dialogue avec Tryphon. Édition critique. Paradosis 47/1-2. Academic Press Fribourg.",scholarly_work_bobichon_2003_justin_martyr_dialogue_avec_tryphon_diti,"Bobichon 2003 — Justin Martyr, Dialogue avec Tryphon, édition critique, vol. 1 (Paradosis 47/1)",0.25,0.89,<=0.3,pub_bobichon_2003_justin_dialogue_tryphon,description_token_overlap;label_token_overlap,"Reference critical edition of Justin Martyr's *Dialogue avec Tryphon* by Philippe Bobichon (Academic Press Fribourg 2003, *Paradosis* 47/1-2, 2 vols., 1146 pp. in total). Volume 1: Greek text establis","Justin Martyr, Dialogue avec Tryphon - édition critique"
argument_dihle_1982_augustine_invents_philosophical_voluntas__argument_dihle_1982_augustine_responds_to_manichean_and_pelagian,argument,argument_dihle_1982_augustine_invents_philosophical_voluntas,Dihle 1982 — Augustin invente le concept philosophique de voluntas,argument_dihle_1982_augustine_responds_to_manichean_and_pelagian,Dihle 1982 — La voluntas augustinienne nait du double aiguillon manicheen et pelagien,0.75,0.89,0.7-0.9,argument_dihle_1982_augustine_invents_philosophical_voluntas,description_token_overlap;label_token_overlap,"Central argument of Lect. VI (p. 123-144 / md ll. 9890-11043). Augustine, under the double spur of anti-Manichaean polemic and the Pelagian controversy, transforms the classical Latin term voluntas (h","Genealogical argument of Dihle 1982 (Lect. VI §II, p. 128-140 / md ll. 5185-5360). The construction of Augustine's concept of voluntas does not arise from abstract metaphysical speculation but from tw"
synthesis_bobzien2001_ch2_chrysippean_arguments__synthesis_bobzien2001_ch3_modality,synthesis,synthesis_bobzien2001_ch2_chrysippean_arguments,Bobzien 2001 Ch. 2 — Deux arguments chrysippeens pour le determinisme causal (bivalence + divination),synthesis_bobzien2001_ch3_modality,"Bobzien 2001 Ch. 3 — Modalite, determinisme, liberte (Chrysippe vs Diodore vs Philon)",0.8,0.89,0.7-0.9,synthesis_bobzien2001_ch2_chrysippean_arguments,description_token_overlap;label_token_overlap,Synthesis Bobzien 2001 ch. 2 (p. 59-96): Chrysippus develops two distinct arguments to establish universal causal determinism. (1) Argument from bivalence (§2.1): every future proposition already has ,Synthesis of Bobzien 2001 Ch. 3 (p. 97-143): Chrysippus develops a distinct modal system that must preserve contingency within the framework of causal determinism. (1) Hellenistic modalities (§3.1.1):
pub_bobzien_2000_epicurus_free_will__pub_bobzien_2021_determinism_freedom_essays,publication,pub_bobzien_2000_epicurus_free_will,Did Epicurus Discover the Free Will Problem?,pub_bobzien_2021_determinism_freedom_essays,"Bobzien 2021 — Determinism, Freedom, and Moral Responsibility: Essays in Ancient Philosophy",0.08,0.89,<=0.3,pub_bobzien_2021_determinism_freedom_essays,description_token_overlap,"Bobzien, S. (2000). ""Did Epicurus Discover the Free Will Problem?"" Oxford Studies in Ancient Philosophy 19: 287-337. Argues that Epicurus did not frame the issue as a ""free will problem"" in the modern","Susanne Bobzien, *Determinism, Freedom, and Moral Responsibility: Essays in Ancient Philosophy*, Oxford: OUP, 2021, xvi + 323 p., ISBN 978-0-19-886673-2. Collection of 9 essays published between 1997 "
sc123_melito_de_anima_et_corpore__work_plutarch_de_fato_complete,work,sc123_melito_de_anima_et_corpore,"Melito, De Anima et Corpore (fr.)",work_plutarch_de_fato_complete,"Pseudo-Plutarch, De Fato (Moralia 568b-574f)",0.09,0.89,<=0.3,work_plutarch_de_fato_complete,description_token_overlap,"Attributed to Melito of Sardis (fl. c. 160-170 CE), De anima et corpore (Fragment XIII in Perler's numbering; = Hall, Fragment 13). Short fragment on soul and body, transmitted in Syriac florilegia un","Pseudo-Plutarch, De fato (Περὶ εἱμαρμένης), Moralia 568B–574F, transmitted under Plutarch's name and conventionally assigned to an anonymous Middle Platonist. The pinned corpus uses Bernardakis' 1891 "
argument_reactive_attitudes_alex__scholarly_argument_markschies_celsus_misidentification_shapes_providence_frame,argument,argument_reactive_attitudes_alex,Legacy reconstruction (discovery only): Reactive Attitudes Argument (Alexander),scholarly_argument_markschies_celsus_misidentification_shapes_providence_frame,Markschies: a mistaken Epicurean identification shapes Contra Celsum's providence frame,0.07,0.88,<=0.3,scholarly_argument_markschies_celsus_misidentification_shapes_providence_frame,description_token_overlap,"Modern reactive-attitudes comparison, discovery only. Alexander's polemical appeals to anger, gratitude, praise and blame may be compared with later analytic debates, but the Strawsonian taxonomy is n","Markschies argues that Contra Celsum's anti-Epicurean frame, with providence as a guiding theme, rests on Origen's mistaken identification of Celsus. Origen increasingly noticed mismatches but retaine"
argument_furst_2022_aristotle_no_will_intellectualism__scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept,argument,argument_furst_2022_aristotle_no_will_intellectualism,"Pas de concept de volonté chez Aristote — intellectualisme grec (Fürst 2022, suivant Frede)",scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept,Irwin: denying Greeks a concept of will because they are not voluntarists is a historical and philosophical mistake,0.11,0.88,<=0.3,scholarly_argument_irwin_1992_voluntarism_intellectualism_share_concept,description_token_overlap,"Fürst 2022's thesis (Thematische Eingrenzungen 1a), following Frede 2011 and Dihle 1985: neither Plato nor Aristotle possesses a concept of will (Wille) as a mental-psychic force independent of the in",Irwin's closing diagnosis of the whole debate: critics who claim that Greek philosophers have no concept of the will may really mean only that the Greeks do not hold a voluntarist conception of the wi
argument_pseudo_chrysostom_de_fato_recapitulation_amand1945__argument_pseudo_chrysostom_de_fato_v_witness6_amand1945,argument,argument_pseudo_chrysostom_de_fato_recapitulation_amand1945,"Pseudo-Chrysostom De Fato V — récapitulation oratoire 'εἰ γένεσίς ἐστι, ...'",argument_pseudo_chrysostom_de_fato_v_witness6_amand1945,Pseudo-Chrysostom De Fato V — texte témoin n°6 (récapitulation carnéadienne),0.51,0.87,0.3-0.7,argument_pseudo_chrysostom_de_fato_v_witness6_amand1945,description_token_overlap;label_token_overlap,"Famous rhetorical recapitulation by Pseudo-Chrysostom at the end of Discours V (PG 50, 768 l.30-44). A rhetorical climax condensing, in eight parallel negations, the entire anti-fatalist moral argumen","Central argument of Pseudo-Chrysostom in the Discours sur le Destin et la Providence V (PG 50, 765 l.24 — 768 l.44). For Amand 1945 (chapter on John Chrysostom, « 3. Troisième texte », p. 519-532), th"
work_cleanthes_hymn_to_zeus__work_cleanthes_svf_i_fragments,work,work_cleanthes_hymn_to_zeus,"Cléanthe, Hymne à Zeus (Ὕμνος εἰς Δία)",work_cleanthes_svf_i_fragments,"Cleanthes, Fragmenta (SVF I.463-619, Arnim)",0.11,0.87,<=0.3,work_cleanthes_svf_i_fragments,description_token_overlap,"Cleanthes of Assos, *Hymn to Zeus* (Ὕμνος εἰς Δία), 39 dactylic hexameters in archaic Stoic — the only Stoic poetic text preserved in its entirety. Transmitted by Stobaeus, *Anthologium* I.1.12 (SVF I","Collected fragments of Cleanthes of Assos (Stoic scholarch c. 263-230 BCE), edited by Hans von Arnim in Stoicorum Veterum Fragmenta vol. I (Teubner 1905), section 5: 'Cleanthis Assii fragmenta et apop"
sc123_melito_peri_pascha__work_eusebius_he_iv_26_melito_fr_iv,work,sc123_melito_peri_pascha,"Melito, Peri Pascha",work_eusebius_he_iv_26_melito_fr_iv,"Melito, Peri Pascha fr. IV",0.27,0.86,<=0.3,sc123_melito_peri_pascha,description_token_overlap;label_token_overlap,"Melito of Sardis (fl. c. 160–170 CE), Peri Pascha (Περὶ Πάσχα / Homilia de Pascha). The oldest surviving complete Christian Paschal homily, recovered from the Chester Beatty papyrus (Chester Beatty XI","Melito of Sardis (fl. c. 160-170 CE), Peri Pascha Fragment IV. Melito's own dating notice from the opening of the Peri Pascha, quoted by Eusebius, Historia ecclesiastica IV.26.3, to date the work unde"
pub_koch_1932_kap_ii_die_bedeutung_der_stoischen_theodizee_fur_origenes__pub_koch_1932_pronoia,publication,pub_koch_1932_kap_ii_die_bedeutung_der_stoischen_theodizee_fur_origenes,Hal Koch 1932 — Kap. II. Die Bedeutung der stoischen Theodizee für Origenes,pub_koch_1932_pronoia,Pronoia und Paideusis: Studien über Origenes und sein Verhältnis zum Platonismus,0.22,0.86,<=0.3,pub_koch_1932_pronoia,author_year_match,Kap. II. Die Bedeutung der stoischen Theodizee für Origenes,"Study of providence (pronoia) and education (paideusis) in Origen, analyzing his relationship to Platonism."
sc268_origenes_peri_archon__work_de_principiis_origen_230s_v2w3x4y5,work,sc268_origenes_peri_archon,"Origenes, De Principiis (Excerpta graeca)",work_de_principiis_origen_230s_v2w3x4y5,De Principiis (Περὶ Ἀρχῶν) - Origen,0.56,0.85,0.3-0.7,work_de_principiis_origen_230s_v2w3x4y5,description_token_overlap;label_token_overlap,"Origen of Alexandria (c. 185-253 CE), Peri Archon III (De Principiis III). Greek excerpts preserved in the Philocalia (ch. 21), covering Book III which is the most sustained ancient Christian treatmen","De Principiis (Περὶ Ἀρχῶν, 'On First Principles') is Origen's great systematic theology - one of the first comprehensive Christian doctrinal syntheses. In four books, it covers: I. God, Christ, Holy S"
argument_origen_witness_carneadean_transposition_envelope_amand1945__argument_origen_witness_carneades_transposition_praise_blame_amand1945,argument,argument_origen_witness_carneadean_transposition_envelope_amand1945,Origène — Transposition théologique des arguments moraux de Carnéade (Amand 1945 Livre II Ch. V §IV),argument_origen_witness_carneades_transposition_praise_blame_amand1945,Origène (transposant Carnéade) — Fatalisme ruine louange/blâme + récompenses eschatologiques (Amand 1945),0.44,0.85,0.3-0.7,argument_origen_witness_carneadean_transposition_envelope_amand1945,description_token_overlap;label_token_overlap,"Argumentative framework: Amand devotes §IV (p. 318-325) to Origen's use of Carneades' anti-fatalist moral argumentation. It is the first two sections of chapter 23 of the Philocalia (Phil. 23.1-2, Rob","Amand (p. 321): First Carneadean argument taken up by Origen, cast in categorical form and adapted to biblical eschatology (Phil. 23.1, Robinson p. 187,24 — 188,5). Original Greek text: « Ἕπεται δὲ το"
pub_carbonell_2016_origen_of_alexandria_on_self_determination_and_non_transferable__pub_fernandez_2016_auto_determinacion_responsabilidad_intransferible_en_origenes_de,publication,pub_carbonell_2016_origen_of_alexandria_on_self_determination_and_non_transferable,"Claudia Carbonell 2016 — Origen of Alexandria on self-determination and non-transferable responsibility. A philosophical approach. (De principiis III, 1)",pub_fernandez_2016_auto_determinacion_responsabilidad_intransferible_en_origenes_de,"Claudia Carbonell Fernández 2016 — Auto-determinación y responsabilidad intransferible en Orígenes de Alejandría. Una consideración filosófica (De principiis III, 1)",0.79,0.84,0.7-0.9,pub_carbonell_2016_origen_of_alexandria_on_self_determination_and_non_transferable,author_year_match;description_token_overlap;label_token_overlap,"In this article, I seek to establish the philosophical contribution of Origen to the idea of the free and responsible nature of the moral agent in De principiis III, 1. I will first show the global ch","Auto-determinación y responsabilidad intransferible en Orígenes de Alejandría. Una consideración filosófica (De principiis III, 1)"
sc79_chrysostomus_de_providentia__work_pseudo_chrysostom_de_fato_providentia,work,sc79_chrysostomus_de_providentia,"Chrysostomus, De Providentia",work_pseudo_chrysostom_de_fato_providentia,"Pseudo-John Chrysostom, De Fato et Providentia (Discourses on Fate and Providence)",0.64,0.84,0.3-0.7,sc79_chrysostomus_de_providentia,description_token_overlap;label_token_overlap,"Les Six Discours sur le Destin et la Providence (Peri heimarmenes te kai pronoias logoi hex) attributed by the manuscript tradition to John Chrysostom (PG 50, 749-774). For Amand 1945 (Book II ch. XII",Les Six Discours sur le Destin et la Providence (Peri heimarmenes te kai pronoias logoi hex) as attributed to Pseudo-Chrysostom for the purposes of witness no. 6 in Amand 1945 — particularly Discourse
work_proclus_de_providentia_fato_in_nobis__work_proclus_tria_opuscula_c9a8e4b3,work,work_proclus_de_providentia_fato_in_nobis,"Proclus, Sur la Providence, le Destin et ce qui dépend de nous (De Providentia, Fato et eo quod in nobis)",work_proclus_tria_opuscula_c9a8e4b3,Tria Opuscula (Three Essays) - Proclus,0.08,0.83,<=0.3,work_proclus_tria_opuscula_c9a8e4b3,description_token_overlap;label_token_overlap,"Second opusculum of Proclus' Tria Opuscula, lost in Greek but preserved in William of Moerbeke's literal Latin translation (13th c.). Here Proclus responds to the objections of Theodore the engineer (","Three monographs on providence, fate, free will, and evil: De Decem Dubitationibus circa Providentiam (Ten Doubts Concerning Providence), De Providentia et Fato (On Providence and Fate), and De Maloru"
work_epicurus_letter_herodotus__work_epicurus_letter_menoeceus,work,work_epicurus_letter_herodotus,Letter to Herodotus (Epistula ad Herodotum),work_epicurus_letter_menoeceus,Letter to Menoeceus (Epistula ad Menoeceum),0.29,0.83,<=0.3,work_epicurus_letter_menoeceus,description_token_overlap;label_token_overlap,"Epicurus's summary of his physics, preserved in Diogenes Laertius X.35-83. Contains the core atomic theory including the fundamental postulates: atoms and void are the only existents, atoms are infini","Epicurus's summary of his ethics, preserved in Diogenes Laertius X.122-135. Contains the passage on fate and chance: it were better to follow the myths about the gods than to become a slave to the des"
work_eusebius_he_iv_26_melito_fr_iv__work_melito_peri_pascha,work,work_eusebius_he_iv_26_melito_fr_iv,"Melito, Peri Pascha fr. IV",work_melito_peri_pascha,On the Pascha (Περὶ Πάσχα),0.16,0.83,<=0.3,work_melito_peri_pascha,description_token_overlap;label_token_overlap,"Melito of Sardis (fl. c. 160-170 CE), Peri Pascha Fragment IV. Melito's own dating notice from the opening of the Peri Pascha, quoted by Eusebius, Historia ecclesiastica IV.26.3, to date the work unde","Melito of Sardis' Paschal Homily (c. 160-170 CE) is the most Pauline of second-century texts on sin and freedom. Pasch. 47-49 presents anthropology of original capability: humans were ""by nature capab"
