node_id,label,type,period,p_about_entity,description_excerpt
pub_fedou_2026_augustin_dir_gott_in_die_mitt_damit_glauben_gelingen_kann_fur_ku,"Michel Fédou 2026 — augustin G. (dir.), Gott in die Mitt e. Damit Glauben gelingen kann. Für Kurt Kardinal Koch, Freiburg, Herder, 2025, 536 p., 68,00 €. isbn 9783451024436.",publication,Contemporary,0.04,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_de_illeneuve_aimer_pour_rien_la_forme_intellectuelle_de_amour_pu,"Michel Fédou 2026 — de V illeneuve C., Aimer pour rien. La forme intellectuelle de l’amour pur, xii-xx e siècle, Paris, Cerf, 2025, 304 p., 24,00 €. ISBN 9782204169110.",publication,Contemporary,0.04,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_de_segni_misere_de_la_condition_humaine_intro_trad_et_commentair,"Michel Fédou 2026 — de Segni L., Misère de la condition humaine, intro., trad. et commentaires O. Hanne, coll. La roue à livres 106, Paris, Les Belles Lettres, 2025, 232 p., 35,00 €. ISBN 9782251457475.",publication,Contemporary,0.04,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_falque_nouvelle_lettre_sur_apologetique_paris_cerf_2025_150_16_0,"Michel Fédou 2026 — Falque E., Nouvelle lettre sur l’apologétique, Paris, Cerf, 2025, 150 p., 16,00 €. ISBN 9782204172783.",publication,Contemporary,0.05,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_cohen_2010_sabbath_law_and_mishnah_shabbat_in_origen_de_principiis,Shaye J. D. Cohen 2010 — Sabbath Law and Mishnah Shabbat in Origen De Principiis,publication,Contemporary,0.06,"»Vielmehr bietet [der Kommentar] auf höchstem Niveau eine substantielle Auseinandersetzung mit den Hintergründen, den Zusammenhängen, der Theorie und der Praxis des Grundgesetzes. Besseres lässt sich von einem Verfassung"
pub_fedou_2026_barth_destin_et_idee_dans_la_theologie_pref_holzer_postf_chalame,"Michel Fédou 2026 — Barth K., Destin et idée dans la théologie, préf. V. Holzer, postf. C. Chalamet, Paris, Ad Solem, 2024, 128 p., 17,00 €. ISBN 9782372981125.",publication,Contemporary,0.06,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_richards_james_trompes_par_notre_individualisme_saint_legier_sui,"Michel Fédou 2026 — Richards E.R., James R., Trompés par notre individualisme, Saint-Légier (Suisse), HET-PRO, 2025, 368p., 25,00€. ISBN 9782940650255.",publication,Contemporary,0.07,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_gauthier_1970_ethique_nicomaque,Introduction to Aristote: L'éthique à Nicomaque,publication,Contemporary,0.08,"R.A. Gauthier argues that Augustine's notion of will ""is already completely present in the Stoics"" - in contrast with Dihle but in affinity with Frede. Cited by Kahn 1988, p. 238."
pub_fedou_2026_aumer_the_light_in_between_journey_of_recognition_new_delhi_arya,"Michel Fédou 2026 — B aümer B. S., The Light In-Between . A journey of Recognition, New Delhi, Aryan Books International, 2025, 376 p., 40,00 $. ISBN 9788173057267",publication,Contemporary,0.11,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_ende_dir_souffle_meditation_et_lecture_la_recherche_de_resonance,"Michel Fédou 2026 — V endé Y. (dir.), Souffle, méditation et lecture . À la recherche de résonances, postf. P. Rodrigues, Sion, Parole et Silence, 2025, 286 p., 25,00 €. ISBN 9782889596393.",publication,Contemporary,0.15,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
pub_fedou_2026_ouvrages_analyses,Michel Fédou 2026 — Ouvrages analysés,publication,Contemporary,0.21,"Le Traité sur la prière d’Origène, désormais accessible dans l’édition critique et la traduction de Daniel Vigne, constitue une œuvre majeure de la théologie chrétienne ancienne. Origène y développe une apologie rigoureu"
scholar_vibe_k,Klaus Vibe,person,Modern,0.26,"Philo of Alexandria, ancient philosophy, free will and determinism"
pub_fedou_2026_unod_dir_affaire_origene_coll_les_peres_dans_la_foi_113_paris_mi,"Michel Fédou 2026 — J unod É. (dir.), L’affaire Origène , coll. Les Pères dans la foi 113, Paris, Migne - Cerf, 2025, 346 p., 25,00€. ISBN 9782204171656.",publication,Contemporary,0.29,"El Tratado sobre la oración de Orígenes, ahora disponible en la edición crítica y la traducción de Daniel Vigne, constituye una obra importante de la teología cristiana antigua. En él, Orígenes desarrolla una defensa rig"
scholarly_argument_denzey_lewis_middle_platonism_heimarmene_an_4,Denzey Lewis: Middle Platonic traditions and the Corpus Hermeticum offer important comparative,argument,Contemporary,0.3,"In the period when the Hermetic writings were composed, the Middle Platonists who chiefly inspired the Hermetists had moved away from the more integrative Stoic conception of heimarmene as a universal principle working t"
pub_kolbet_2011_origen_185_253,Paul R. Kolbet 2011 — Origen (c.185–c.253),publication,Contemporary,0.3,"Abstract Born in Alexandria, Egypt, Origen may well have been the most influential Christian intellectual between St. Paul and Augustine. He received an outstanding education in Greek and Christian literature. His father"
