edge_id,translation_id,original_id,translation_label,original_label,p_partial,p_same_content,original_excerpt,translation_excerpt
c3ee1296-63a5-4450-a3e6-d6b5c07bab53,passage_boethius_cons_66_en,passage_boethius_cons_66,"Boethius, Cons. 66: Good as Cause (English)","Boethius, Cons. 66: Good as Cause",1,0.25,"- Ad bonum vero cetera referri palam est. Ideirco enim sufficientia petitur, quoniam bonum esse iudicatur, idcirco potentia, quoniam id quoque esse creditur bonum; idem de reverent","Boethius, Consolation of Philosophy, passage 66: Good as Cause. All other things are clearly referred to the good. Self-sufficiency is sought because it is judged to be good; power"
cd4e3c43-6369-4071-a272-4b19c80122cc,passage_boethius_cons_67_en,passage_boethius_cons_67,"Boethius, Cons. 67: Light of Truth (Verse) (English)","Boethius, Cons. 67: Light of Truth (Verse)",1,0.09,"Non quicquid Tagus aureis harenis donat aut Hermus rutilante ripa aut Indus calido propinquus orbi candidis miscens virides lapillos, inlustrent aciem magisque {magisque} caecos in","Boethius, Consolation of Philosophy, passage 67: Light of Truth (Verse). Whatever the Tagus gives with its golden sands, or the Hermus with its ruddy bank, or the Indus near the to"
8b4fc34f-4ace-4f4a-a7ec-d4317c689baa,passage_boethius_cons_77_en,passage_boethius_cons_77,"Boethius, Cons. 77: The Problem of Evil (English)","Boethius, Cons. 77: The Problem of Evil",1,0.32,"Haec cum Philosophia dignitate vultus et oris gravitate servata leniter suaviterque {suaviterque} cecinisset, tum ego nondum penitus insiti maeroris oblitus intentionem dicere adhu","Boethius, Consolation of Philosophy, passage 77: The Problem of Evil. When Philosophy had sung with dignity of expression and gravity of countenance, Boethius, not yet forgetful of"
a7bbc454-b33b-4f80-a770-c4dbb2ac021e,passage_boethius_cons_74_en,passage_boethius_cons_74,"Boethius, Cons. 74: Nothing Opposes God (English)","Boethius, Cons. 74: Nothing Opposes God",1,0.29,"— Quodsi conetur, ait, num tandem proficiet quicquam adversum eum, quem iure beatitudinis potentissimum esse concessimus? - Prorsus. inquam, nihil valeret. - Non est igitur aliquid","Boethius, Consolation of Philosophy, passage 74: Nothing Opposes God. If anything should attempt to oppose the supreme good, could it accomplish anything against the one whom we ha"
db066cf0-d666-4435-9ff9-635017f05608,passage_boethius_cons_78_en,passage_boethius_cons_78,"Boethius, Cons. 78: Good are Powerful, Evil Weak (English)","Boethius, Cons. 78: Good are Powerful, Evil Weak",1,0.14,"Sed non ita est; nam si ea, quae paulo ante conclusa sunt, inconvulsa servantur, ipso, de cuius nunc regno loquimur, auctore cognosces semper quidem potentes esse bonos, malos vero","Boethius, Consolation of Philosophy, passage 78: Good are Powerful, Evil Weak. Philosophy responds: if the previous conclusions stand unshaken, Boethius will learn from the very Au"
887ed04d-7dd8-48c4-b531-0e0d2b933dc3,passage_boethius_cons_82_en,passage_boethius_cons_82,"Boethius, Cons. 82: Wicked Fail Their Goal (English)","Boethius, Cons. 82: Wicked Fail Their Goal",1,0.31,"Neque enim levia aut ludicra praemia petunt, quae consequi, atque obtinere non possunt, sed circa ipsam rerum summam verticemque {verticemque} deficiunt nec in eo miseris contingit","Boethius, Consolation of Philosophy, passage 82: Wicked Fail Their Goal. The wicked do not seek trivial or frivolous rewards, but fail at the very summit and pinnacle of things. Th"
20cd553b-ef16-471c-b011-391a63f4d979,passage_boethius_cons_7_en,passage_boethius_cons_7,"Boethius, Cons. 7: Fate Under Foot (Verse) (English)","Boethius, Cons. 7: Fate Under Foot (Verse)",1,0.2,"Quisquis composito serenus aevo fatum sub pedibus egit superbum fortunamque {fortunamque} tuens utramque rectus invictum potuit tenere vultum, non illum rabies minaeque {minaeque} ","Boethius, Consolation of Philosophy, passage 7: Fate Under Foot (Verse). Whoever, serene in a well-ordered life, has trampled proud fate (fatum) beneath his feet, and looking fortu"
fb7fa37c-d19b-403e-9283-ccf34074b69c,passage_boethius_cons_83_en,passage_boethius_cons_83,"Boethius, Cons. 83: Evil is Non-Being (English)","Boethius, Cons. 83: Evil is Non-Being",1,0.35,"Est enim, quod ordinem retinet servatque {servatque} naturam; quod vero ab hac deficit, esse etiam, quod in sua natura situm est, derelinquit. Sed possunt, inquies, mali; ne ego qu","Boethius, Consolation of Philosophy, passage 83: Evil is Non-Being. That which maintains its order and preserves its nature truly exists; but what falls away from this also abandon"
fcf80683-3990-43c6-92b1-2bf4c7921243,passage_boethius_cons_84_en,passage_boethius_cons_84,"Boethius, Cons. 84: Platonic Confirmation (English)","Boethius, Cons. 84: Platonic Confirmation",1,0.34,"Ex quibus omnibus bonorum quidem potentia, malorum vero minime dubitabilis apparet infirmitas veramque {veramque} illam Platonis esse sententiam liquet solos, quod desiderent, face","Boethius, Consolation of Philosophy, passage 84: Platonic Confirmation. From all this, the power of the good and the undeniable weakness of the wicked become apparent, confirming P"
09c20d29-b752-4086-b0fe-74627415ee31,passage_boethius_cons_85_en,passage_boethius_cons_85,"Boethius, Cons. 85: Virtue Its Own Reward (English)","Boethius, Cons. 85: Virtue Its Own Reward",1,0.23,"Atqui hoc a bonis non potest separari — neque enim bonus ultra iure vocabitur, qui careat bono - quare probos mores sua praemia non relinquunt. ua - ntumlibet igitur saeviant mali,","Boethius, Consolation of Philosophy, passage 85: Virtue Its Own Reward. The good cannot be separated from virtue -- for whoever lacks the good can no longer rightly be called good."
880e27fe-0ac4-4306-bbb1-635c82f6a3e0,passage_boethius_cons_86_en,passage_boethius_cons_86,"Boethius, Cons. 86: Vice Its Own Punishment (English)","Boethius, Cons. 86: Vice Its Own Punishment",1,0.36,"Si igitur sese ipsi aestimare verum, possuntne {possuntne} sibi supplicii expertes videri, quos - omnium malorum extremum - nequitia non affecit modo, verum etiam vehementer infeci","Boethius, Consolation of Philosophy, passage 86: Vice Its Own Punishment. If the wicked could rightly assess themselves, could they consider themselves free from punishment, when w"
07eae534-3aca-4a08-ab50-c0f96588cb74,passage_boethius_cons_93_en,passage_boethius_cons_93,"Boethius, Cons. 93: Wisdom Replaces Hatred (English)","Boethius, Cons. 93: Wisdom Replaces Hatred",1,0.24,compensatione adipiscendae probitatis nec hos cruciatus esse ducerent defensorumque {defensorumque} operam repudiarent ac se totos accusatoribus iudicibusque {iudicibusque} permitt,"Boethius, Consolation of Philosophy, passage 93: Wisdom Replaces Hatred. If the wicked recognized their condition, they would seek the compensation of acquiring virtue and would no"
73b6b3f2-9900-48e0-ab70-ed95ef2cd36f,passage_boethius_cons_8_en,passage_boethius_cons_8,"Boethius, Cons. 8: Boethius's Unjust Prosecution (English)","Boethius, Cons. 8: Boethius's Unjust Prosecution",1,0.39,"Atqui tu hanc sententiam Platonis ore sanxisti beatas fore res publicas, si eas vel studiosi - sapientiae regerent vel earum rectores studere sapientiae contigisset. Tu eiusdem vir","Boethius, Consolation of Philosophy, passage 8: Boethius's Public Service. Boethius invokes Plato's principle that commonwealths would be blessed if they were governed by students "
d89a3428-85ed-4087-9a3d-66f1a4f2b4e3,passage_sen_prov_4_5_en,passage_sen_prov_4_5,"Seneca, De Prov. 4.5: God Provides Material for Virtue (English)","Seneca, De Prov. 4.5: God Provides Material for Virtue",1,0.25,"Latin: Ipsis, inquam, deus consulit, quos esse quam honestissimos cupit, quotiens illis materiam praebet aliquid animose fortiterque faciendi, ad quam rem opus est aliqua rerum dif","Seneca, On Providence 4.5: God Provides Material for Virtue. God, I say, is looking out for those whom He wishes to be as honorable as possible whenever He provides them material f"
7bb65dda-52af-42d2-ba6d-341285c35b10,sc132_origenes_contra_celsum_i_par10_en,sc132_origenes_contra_celsum_i_par10,CC I 10 (English),CC I 10,1,0.34,"10. Εἶτ' ἐπεὶ τὰ περὶ τῆς πίστεως θρυλοῦσι, λεκτέον ὅτι ἡμεῖς μὲν παραλαμβάνοντες αὐτὴν ὡς χρήσιμον τοῖς πολλοῖς ὁμολογοῦμεν διδάσκειν πιστεύειν καὶ ἀλόγως τοὺς μὴ δυναμένους πάντα","10. Since they make such a fuss about faith (pistis), it must be said that we who accept it as useful for the many acknowledge that we teach people to believe, even without rationa"
013cae97-3a08-4c30-ba86-8945bebee63f,sc132_origenes_contra_celsum_i_par11_en,sc132_origenes_contra_celsum_i_par11,CC I 11 (English),CC I 11,1,0.3,"11. Περὶ ὧν ὁ μὴ πιστεύων μόνον ἀλλὰ καὶ λόγῳ θεωρῶν τὰ πράγματα ἐρεῖ τὰς ὑποπιπτούσας αὐτῷ καὶ εὑρισκομένας ἐκ τοῦ πάνυ ζητεῖν ἀποδείξεις. Πῶς δ' οὐκ εὐλογώτερον, πάντων τῶν ἀνθρω","11. Concerning these matters, the one who does not merely believe but also contemplates things through reason (logos) will state the proofs that present themselves to him and are d"
ecd28f10-8695-4a8a-93b6-8f80d1a545f7,sc132_origenes_contra_celsum_i_par13_en,sc132_origenes_contra_celsum_i_par13,CC I 13 (English),CC I 13,1,0.28,"13. Ἐπεὶ δ' ὁ Κέλσος ἔθηκεν ὡς λεγόμενον ὑπὸ πολλῶν Χριστιανῶν « Κακὸν μέν γε ἡ ἐν τῷ βίῳ σοφία ἀγαθὸν δ' ἡ μωρία », λεκτέον ὅτι συκοφαντεῖ τὸν λόγον, μὴ ἐκθέμενος αὐτὴν τὴν παρὰ τ","13. Since Celsus has quoted as being said by many Christians: 'The wisdom of this world is an evil, and foolishness is a good,' it must be said that he misrepresents the argument b"
e8f4dd17-8650-4e79-b719-6fb4bee18c2e,sc132_origenes_contra_celsum_i_par15_en,sc132_origenes_contra_celsum_i_par15,CC I 15 (English),CC I 15,1,0.12,"15. Πόσῳ δὲ βελτίων Κέλσου καὶ διὰ πολλῶν δείξας εἶναι ἐλλογιμώτατος καὶ πλείονα βασανίσας δόγματα καὶ ἀπὸ πλειόνων συναγαγὼν ἃ ἐφαντάσθη εἶναι ἀληθῆ ὁ πυθαγόρειος Νουμήνιος, ὅστις","15. How much better than Celsus, and how much more learned -- as demonstrated through many works -- and how much more thoroughly did he examine doctrines and gather from many sourc"
77df82f1-b8a0-4c38-8032-15c08fb730bd,sc132_origenes_contra_celsum_i_par16_en,sc132_origenes_contra_celsum_i_par16,CC I 16 (English),CC I 16,1,0.18,"16. Θαυμάζω δέ, πῶς Ὀδρύσας μὲν καὶ Σαμόθρᾳκας καὶ Ἐλευσινίους καὶ Ὑπερβορέους ἐν τοῖς ἀρχαιοτάτοις καὶ σοφωτάτοις ἔταξεν ἔθνεσιν ὁ Κέλσος, τοὺς δὲ Ἰουδαίους οὐκ ἠξίωσεν οὔτε εἰς σ","16. I am amazed that Celsus placed the Odrysians and Samothracians and Eleusinians and Hyperboreans among the most ancient and wisest nations, but did not deem the Jews worthy of b"
a2dd6915-45b0-4cbd-aaf7-457b22a6bc8a,sc132_origenes_contra_celsum_i_par12_en,sc132_origenes_contra_celsum_i_par12,CC I 12 (English),CC I 12,1,0.21,"12. {Εἶτ' ἐπεί φησιν ὁ Κέλσος αὐταῖς λέξεσιν · Εἰ μὲν δὴ θελήσουσιν ἀποκρίνεσθαί μοι, ὡς οὐ διαπειρωμένῳ - πάντα γὰρ οἶδα - ἀλλ' ὡς ἐξ ἴσου πάντων κηδομένῳ, εὖ ἂν ἔχοι · εἰ δ' οὐκ ","12. {Then, since Celsus says in his very words: 'If they will consent to answer me, not as one testing them -- for I know everything -- but as one who cares equally for all, it wou"
fc5d45e4-5df9-4c64-8c9a-39608413573c,sc132_origenes_contra_celsum_i_par17_en,sc132_origenes_contra_celsum_i_par17,CC I 17 (English),CC I 17,1,0.34,"17. Καὶ ἑκὼν μὲν ἐπελάθετο τοῦ περὶ τῶν νομιζομένων θεῶν μύθου ὡς ἀνθρωποπαθῶν, ἀναγεγραμμένου μάλιστα ὑπὸ Ὀρφέως, (17) ἐν δὲ τοῖς ἑξῆς κατηγορῶν τῆς Μωϋσέως ἱστορίας αἰτιᾶται τοὺς","17. And he deliberately forgot the myth about the supposed gods as subject to human passions (anthropopathes), a myth recorded especially by Orpheus, but in what follows, when atta"
6884f25e-f545-4eb2-8adc-56c1f19ddad7,sc132_origenes_contra_celsum_i_par20_en,sc132_origenes_contra_celsum_i_par20,CC I 20 (English),CC I 20,1,0.17,"20. [Πλὴν καὶ ἄκων ἐνέπεσεν ὁ Κέλσος εἰς τὸ μαρτυρεῖν τῷ νεώτερον εἶναι τὸν κόσμον καὶ οὐδέπω μυρίων ἐτῶν εἰπὼν καὶ Ἕλληνας ταῦτα νομίζειν ἀρχαῖα, ὡς πρεσβύτερα διὰ τοὺς κατακλυσμο","20. [Moreover, Celsus unwittingly fell into testifying that the world is younger and has not yet reached ten thousand years, when he said that even the Greeks consider these things"
de648904-3a51-40ce-a736-9cea3a4e27a0,sc132_origenes_contra_celsum_i_par23_en,sc132_origenes_contra_celsum_i_par23,CC I 23 (English),CC I 23,1,0.22,"23. Ἑξῆς τούτοις φησὶν ὁ Κέλσος ὅτι τῷ ἡγησαμένῳ σφῶν [ ἑπόμενοι Μωϋσεῖ αἰπόλοι καὶ ποιμένες ], ἀγροίκοις ἀπάταις ψυχαγωγηθέντες [ ἕνα ἐνόμισαν εἶναι θεόν. Δεικνύτω] τοίνυν πῶς, αἰ","23. Next, Celsus says that following their leader [Moses, goatherds and shepherds], beguiled by rustic deceptions, [believed there was one God. Let him show,] then, how -- given th"
458f93a1-c394-429e-a07c-9dbb4732d40b,sc132_origenes_contra_celsum_i_par22_en,sc132_origenes_contra_celsum_i_par22,CC I 22 (English),CC I 22,1,0.2,"22. Μετὰ ταῦτα [τὸ περιτέμνεσθαι τὰ αἰδοῖα μὴ διαβαλὼν ὁ Κέλσος ὑπὸ Ἰουδαίων γινόμενον, φησὶν ἀπὸ Αἰγυπτίων αὐτὸ ἐληλυθέναι ], Αἰγυπτίοις μᾶλλον ἢ Μωϋσεῖ πιστεύσας, λέγοντι πρῶτον ","22. After this, [Celsus, without attacking the practice of circumcision (peritome) of the genitals by the Jews, says it came from the Egyptians,] trusting the Egyptians rather than"
4f427fa2-d7f6-45f6-97a7-126fdecba7b2,sc132_origenes_contra_celsum_i_par24_en,sc132_origenes_contra_celsum_i_par24,CC I 24 (English),CC I 24,1,0.19,"24. {Μετὰ ταῦτά φησιν ὅτι οἱ αἰπόλοι καὶ ποιμένες ἕνα ἐνόμισαν θεόν, εἴτε Ὕψιστον εἴτ' Ἀδωναῖον εἴτ' Οὐράνιον εἴτε Σαβαώθ, εἴτε καὶ ὅπῃ καὶ ὅπως χαίρουσιν ὀνομάζοντες τόνδε τὸν κόσ","24. {After this he says that the goatherds and shepherds believed in one God, whether Most High (Hypsistos) or Adonai or Heavenly (Ouranios) or Sabaoth, or however and by whatever "
6ba49196-1cd8-43b6-8f8f-5f725f6d8f58,sc132_origenes_contra_celsum_i_par14_en,sc132_origenes_contra_celsum_i_par14,CC I 14 (English),CC I 14,1,0.16,14. Συγγένειαν παρὰ πολλοῖς τῶν ἐθνῶν νομίζων εἶναι ὁ Κέλσος τοῦ αὐτοῦ λόγου πάντα μὲν ὀνομάζει τὰ ἔθνη ὡς ἀρξάμενα τοῦ τοιοῦδε δόγματος · οὐκ οἶδα δ' ὅπως μόνους Ἰουδαίους συκοφαν,"14. Celsus, believing there to be an affinity of the same doctrine among many nations, names all the nations as having originated such teachings. But I do not know why he alone mal"
e651ecdc-e97f-4ee8-8e54-d26aba0a924d,sc132_origenes_contra_celsum_i_par26_a_en,sc132_origenes_contra_celsum_i_par26_a,CC I 26_a (English),CC I 26_a,1,0.16,"Ἐπαγγειλάμενος δ' ὁ Κέλσος ὕστερον διδάξειν τὰ περὶ Ἰουδαίων, πρῶτον ποιεῖται τὸν λόγον περὶ τοῦ σωτῆρος ἡμῶν, ὡς γενομένου ἡγεμόνος τῇ καθὸ Χριστιανοί ἐσμεν γενέσει ἡμῶν, καί φησι","Having promised to teach later about the Jews, Celsus first addresses the topic of our Savior, as the one who became the leader of what makes us Christians, and he says that a very"
d700bbbf-d1e7-4047-830b-bac3584b65c5,sc132_origenes_contra_celsum_i_par27_en,sc132_origenes_contra_celsum_i_par27,CC I 27 (English),CC I 27,1,0.27,27. Ἐξετάζων δέ τις τὰ πράγματα ὄψεται ὅτι μείζω τῆς ἀνθρωπίνης φύσεως ἐτόλμησεν ὁ Ἰησοῦς καὶ τολμήσας ἤνυσε. Πάντων γὰρ ἀρχῆθεν ἀντιπραττόντων τῷ σπαρῆναι τὸν λόγον αὐτοῦ ἐπὶ τὴν ,"27. And anyone who examines the facts will see that Jesus dared things greater than human nature (physis) and, having dared them, succeeded. For though from the beginning all thing"
1af94021-3ed0-4566-84c6-920034a5ca90,sc132_origenes_contra_celsum_i_par30_en,sc132_origenes_contra_celsum_i_par30,CC I 30 (English),CC I 30,1,0.29,"30. Τίς οὖν μὴ παρέργως ἀνερευνῶν τὴν τῶν πραγμάτων φύσιν οὐκ ἂν αὐτὸν καταπλαγείη νικήσαντα καὶ ὑπεραναβῆναι δυνηθέντα τῇ δόξῃ τὰ ποιητικὰ ἀδοξίας πάντα <καὶ> πάντα, τοὺς πώποτ' ἐ","30. Who, then, investigating the nature of things not superficially, would not be astonished at this man who prevailed and was able to rise in renown above all the things that prod"
84d2f81d-7494-4992-acf9-8a8a03903660,sc132_origenes_contra_celsum_i_par28_en,sc132_origenes_contra_celsum_i_par28,CC I 28 (English),CC I 28,1,0.49,"28. Ἐπεὶ δὲ καὶ [προσωποποιεῖ], τρόπον τινὰ μιμησάμενος ἓν ῥήτορος εἰσαγόμενον παιδίον, [καὶ εἰσάγει Ἰουδαῖον πρὸς τὸν Ἰησοῦν λέγοντά τινα μειρακιωδῶς καὶ οὐδὲν φιλοσόφου πολιᾶς ἄξ","28. Since he also [constructs a prosopopoeia (prosopopoiia)], in a way imitating the introduction used by orators, [and introduces a Jew speaking to Jesus in a childish manner, say"
69b335f1-dace-4d6f-b25f-fea30e0bee91,sc132_origenes_contra_celsum_i_par3_en,sc132_origenes_contra_celsum_i_par3,CC I 3 (English),CC I 3,1,0.2,"3. Μετὰ ταῦτα περὶ τοῦ κρύφα Χριστιανοὺς τὰ ἀρέσκοντα ἑαυτοῖς ποιεῖν καὶ διδάσκειν εἰπών, καὶ ὅτι οὐ μάτην τοῦτο ποιοῦσιν, ἅτε διωθούμενοι τὴν ἐπηρτημένην αὐτοῖς δίκην τοῦ θανάτου,","3. After this, having said that Christians secretly practice and teach what pleases them, and that they do so not without reason since they are repelling the penalty of death that "
3d159dcc-d343-471e-ada2-323b9b76ae3b,sc132_origenes_contra_celsum_i_par44_en,sc132_origenes_contra_celsum_i_par44,CC I 44 (English),CC I 44,1,0.62,"44. Καὶ ταῦτα πρὸς τὸν Ἰουδαῖον λέγω, οὐκ ἀπιστῶν ὁ Χριστιανὸς τῷ Ἰεζεκιὴλ καὶ τῷ Ἡσαΐᾳ, ἀλλὰ δυσωπῶν ἐκ τῶν κοινῇ ἡμῖν πεπιστευμένων ὅτι πολλῷ <μᾶλλον> οὗτος ἐκείνων ἄξιός ἐστι το","44. And I say these things to the Jew — not as a Christian who disbelieves Ezekiel and Isaiah, but pressing him on the basis of what we both hold in common belief, that this man [J"
a7037b26-bc14-459e-b4b9-002494e8d520,sc132_origenes_contra_celsum_i_par46_en,sc132_origenes_contra_celsum_i_par46,CC I 46 (English),CC I 46,1,0.56,46. Πεπλήρωται δὲ ὁ νόμος καὶ οἱ προφῆται τῶν παραπλη-σίων παραδόξων τῷ ἀναγραφέντι περὶ τοῦ Ἰησοῦ παρὰ τῷ βαπτίσματι περὶ τῆς περιστερᾶς καὶ τῆς ἐξ οὐρανοῦ φωνῆς. Σημεῖον δὲ οἶμαι,46. The Law and the Prophets are filled with marvels similar to what has been written about Jesus at his baptism concerning the dove and the heavenly voice. I believe that the wond
0edeffc9-110a-4a85-91c6-c281fe753c3d,sc132_origenes_contra_celsum_i_par47_en,sc132_origenes_contra_celsum_i_par47,CC I 47 (English),CC I 47,1,0.64,"47. Ἐβουλόμην δ' ἂν Κέλσῳ, προσωποποιήσαντι τὸν Ἰουδαῖον παραδεξάμενόν πως Ἰωάννην ὡς βαπτιστὴν βαπτίζοντα τὸν Ἰησοῦν, εἰπεῖν ὅτι τὸ Ἰωάννην γεγονέναι βαπτιστήν, εἰς ἄφεσιν ἁμαρτημ","47. I would have wished to say to Celsus, who has put words in the mouth of a Jew who in some way accepts John as a baptizer baptizing Jesus, that the fact of John having been a ba"
16d1fd40-6b27-4da1-a881-17b204bca425,sc132_origenes_contra_celsum_i_par48_b_en,sc132_origenes_contra_celsum_i_par48_b,CC I 48_b (English),CC I 48_b,1,0.15,"Ἔτι δὲ προσθήσω τῷ λόγῳ καὶ αὐτά, ἃ [οἴεται ὁ Κέλσος, ὅτι αὐτὸς Ἰησοῦς εἶπε τὰ περὶ τὴν ἄνοιξιν τῶν οὐρανῶν καὶ τὸ καταβὰν πνεῦμα ἅγιον ἐπ' αὐτὸν <ἐν> εἴδει περιστερᾶς παρὰ τῷ Ἰορδ",I shall add further to the discussion [what Celsus himself thinks — that Jesus himself spoke about the opening of the heavens and the descent of the Holy Spirit upon him in the for
75c6937b-2aaa-4e23-afad-2694d7ae5762,sc132_origenes_contra_celsum_i_par49_en,sc132_origenes_contra_celsum_i_par49,CC I 49 (English),CC I 49,1,0.55,"49. Μετὰ ταῦτ' οὐκ οἶδ' ὅπως τὸ μέγιστον περὶ τῆς συστάσεως τοῦ Ἰησοῦ κεφάλαιον, ὡς ὅτι ἐπροφητεύθη ὑπὸ τῶν παρὰ Ἰουδαίοις προφητῶν, Μωϋσέως καὶ τῶν μετ'αὐτὸν ἢ καὶ πρὸ Μωϋσέως, πα","49. After this, I do not know why Celsus deliberately passes over the most important matter concerning the attestation of Jesus — namely, that he was foretold by the prophets among"
df905204-f116-4ca6-b4a3-427224404c58,sc132_origenes_contra_celsum_i_par51_en,sc132_origenes_contra_celsum_i_par51,CC I 51 (English),CC I 51,1,0.58,"51. Εἴρηται δὴ [περὶ μὲν τοῦ τόπου τῆς γενέσεως αὐτοῦ, ὅτι ἀπὸ « Βηθλεὲμ » « ἐξελεύσεται ὁ ἡγούμενος », τοῦτον τὸν τρόπον · « Καὶ σὺ Βηθλεὲμ οἶκος τοῦ Ἐφραθά, ὀλιγοστὸς εἶ τοῦ εἶνα","51. [Indeed, it has been said concerning the place of his birth — that from 'Bethlehem' 'a ruler shall go forth' — in this manner: 'And you, Bethlehem, house of Ephrathah, you are "
