edge_id,translation_id,original_id,translation_label,original_label,p_identical,original_excerpt,translation_excerpt
48500429-39cd-4518-a30b-4660727ae19e,passage_epict_129_en,passage_epict_129,"Epictetus, Discourses III.13: Zeus Alone at the Conflagration (English)","Epictetus, Discourses III.13: Zeus Alone at the Conflagration",0.77,"Greek: • ὁ Ζεὺς ἐν τῇ ἐκπυρώσει - Zeus in the conflagration • μόνος ἐστίν - he is alone • οὐκ ἐρημοῦται - he is not lonely  In the cosmic conflagration (ἐκπύρωσις), Zeus is alone (","Key phrases: Zeus in the conflagration; he is alone; he is not lonely.  In the cosmic conflagration (ἐκπύρωσις), Zeus is alone (μόνος) yet not lonely (οὐκ ἐρημοῦται). He converses "
7e1aa82e-c884-4e0b-9586-0d61da9b9c16,passage_justin_1apol_43_en,passage_justin_1apol_43,"Justin, 1 Apology 43: The Antifatalist Argument (English)","Justin, 1 Apology 43: The Antifatalist Argument",0.77,"Justin Martyr's famous antifatalist argument, central to early Christian apologetics on free will. This is the locus classicus for understanding how the Apologists rejected Stoic f","Justin Martyr's famous antifatalist argument, central to early Christian apologetics on free will. This is the locus classicus for understanding how the Apologists rejected Stoic f"
47763ce8-5418-416d-96af-4f4fe50705f8,passage_meth_dla_70_en,passage_meth_dla_70,"Methodius, De Libero Arbitrio 70: The First Human Created Self-Determining (English)","Methodius, De Libero Arbitrio 70: The First Human Created Self-Determining",0.77,"The core statement of Methodius's free will doctrine. ΟΡΘΟΔ. (Orthodox) responds to the question whether evil arises from human nature, divine creation, or external influence.  GRE","The core statement of Methodius's free will doctrine. . (Orthodox) responds to the question whether evil arises from human nature, divine creation, or external influence.  That hum"
5cefdad3-4b13-4871-bb02-bad90b6e1c37,passage_epict_124_en,passage_epict_124,"Epictetus, Discourses III.24: Wholly Oriented to Divine Commands (English)","Epictetus, Discourses III.24: Wholly Oriented to Divine Commands",0.77,Greek: • ὅλος πρὸς τὸν θεὸν τέταμαι - I am wholly stretched toward god • τὰς ἐκείνου ἐντολὰς καὶ τὰ προστάγματα - his commands and ordinances • ταῦτα ἔχων ἀεὶ ἐν χερσί - holding th,Key phrases: I am wholly stretched toward god; his commands and ordinances; holding these always in hand; making them ready to hand.  The sage is wholly (ὅλος) stretched/oriented t
ff43c391-772c-40b7-93f2-b5d7d1ff7d2a,passage_epict_162_en,passage_epict_162,"Epictetus, Discourses IV.12: No One Harms Another - Only Self-Harm (English)","Epictetus, Discourses IV.12: No One Harms Another - Only Self-Harm",0.76,"Greek: ἄλλος ἄλλον οὐ βλάπτει / ἀλλὰ τὰ αὑτοῦ ἔργα ἕκαστον καὶ βλάπτει καὶ [sc. ὠφελεῖ] (allos allon ou blaptei / alla ta autou erga hekaston kai blaptei kai [ōphelei]) ""No one har","(allos allon ou blaptei / alla ta autou erga hekaston kai blaptei kai [ōphelei]) ""No one harms another / but each person's own deeds harm and benefit them""  1. FOUNDATIONAL: Others"
735abbbc-8531-45e5-9789-34767e619a54,passage_epict_146_en,passage_epict_146,"Epictetus, Discourses IV.6: Eudaimonia vs Display - Ruler and Dishonored Alike (English)","Epictetus, Discourses IV.6: Eudaimonia vs Display - Ruler and Dishonored Alike",0.75,Greek: • ἄρχοντι καὶ ἀτίμῳ εὐδαιμονεῖν - flourishing [is possible] for ruler and dishonored alike • σαυτὸν ἐπιδεικνύειν πλουτοῦντα καὶ ἄρχοντα - showing yourself off as wealthy and,Key phrases: flourishing [is possible] for ruler and dishonored alike; showing yourself off as wealthy and ruling; of a boaster and cold person.  Eudaimonia is possible for both ru
401209fc-c6d0-4f27-b61a-5886753e124a,passage_ma_med_8_48_en,passage_ma_med_8_48,"Marcus Aurelius, Meditations 8.48: The Invincible Hegemonikon (English)","Marcus Aurelius, Meditations 8.48: The Invincible Hegemonikon",0.75,"A powerful statement on inner freedom. Marcus declares the hegemonikon becomes invincible (ἀκαταμάχητον) when it withdraws into itself, content with itself, doing nothing it does n","A powerful statement on inner freedom. Marcus declares the hegemonikon becomes invincible (ἀκαταμάχητον) when it withdraws into itself, content with itself, doing nothing it does n"
7dbf5331-7825-431c-a863-ff63888b96b2,passage_justin_dial_130_en,passage_justin_dial_130,"Justin, Dialogue 130.3: Those Who Choose to Be Persuaded (English)","Justin, Dialogue 130.3: Those Who Choose to Be Persuaded",0.74,Justin's emphasis on the voluntary nature of Christian faith. Those who choose (αἱρουμένους) to be persuaded by God's will through Christ are the true Israel.  GREEK TEXT (verified,"Justin's emphasis on the voluntary nature of Christian faith. Those who choose (αἱρουμένους) to be persuaded by God's will through Christ are the true Israel.  ""I wish to add to th"
a34e88f5-27fe-4e27-ba39-3aaf840ee3b8,passage_ma_med_12_33_en,passage_ma_med_12_33,"Marcus Aurelius, Meditations 12.33: How the Hegemonikon Uses Itself (English)","Marcus Aurelius, Meditations 12.33: How the Hegemonikon Uses Itself",0.74,"Near the end of the Meditations, Marcus poses the essential question: ""How does the ruling faculty use itself?"" (Πῶς ἑαυτῷ χρῆται τὸ ἡγεμονικόν;) For in this lies everything (ἐν γὰ","Near the end of the Meditations, Marcus poses the essential question: ""How does the ruling faculty use itself?"" (Πῶς ἑαυτῷ χρῆται τὸ ἡγεμονικόν;) For in this lies everything (ἐν γὰ"
4899a3d1-5b1a-4cc4-b034-4963c640fdc2,passage_epict_112_en,passage_epict_112,"Epictetus, Discourses III.22: Universal Parenthood - All Humanity as Children (English)","Epictetus, Discourses III.22: Universal Parenthood - All Humanity as Children",0.73,Greek: • τοὺς ἀνθρώπους πεπαιδοποίηται - all humans are his children • τοὺς ἄνδρας υἱοὺς ἔχει - has men as sons • τὸν χαρακτῆρα τὸν Διογένους - the character of Diogenes • πόρδωνες,Key phrases: all humans are his children; has men as sons; the character of Diogenes; they become farters [pseudo-Cynics].  The true Cynic has all humanity (τοὺς ἀνθρώπους) as chil
c2950962-2d4c-44ce-bcdd-916de3845d9b,passage_epict_49_en,passage_epict_49,"Epictetus, Discourses: All Roads Lead to Hades (English)","Epictetus, Discourses: All Roads Lead to Hades",0.73,"Greek: • κλαίοντες καὶ στένοντες πάσχομεν ἃ πάσχομεν - weeping and groaning we suffer what we suffer • καὶ περιστάσεις αὐτὰ καλοῦμεν - and we call them ""circumstances"" • ποίας περι","Key phrases: and we call them ""circumstances""; what circumstances?; what destroys is either sword or wheel or sea or tile or tyrant; [by which you] descend to Hades; all [roads] ar"
65c7e90d-6c4c-45e3-bbd8-a9a99052a75e,passage_justin_dial_88_en,passage_justin_dial_88,"Justin, Dialogue 88.4-5: Free Will and Adamic Sin (English)","Justin, Dialogue 88.4-5: Free Will and Adamic Sin",0.73,Justin's argument for free will in the context of baptism and original sin. Both angels and humans were made self-determining (αὐτεξούσιοι) with free choice (ἐλευθέρα προαίρεσις). ,Justin's argument for free will in the context of baptism and original sin. Both angels and humans were made self-determining (αὐτεξούσιοι) with free choice (ἐλευθέρα προαίρεσις). 
93bc102e-f0b1-40d6-904f-e11bd46f8c8f,passage_ma_med_7_16_en,passage_ma_med_7_16,"Marcus Aurelius, Meditations 7.16: The Hegemonikon Does Not Disturb Itself (English)","Marcus Aurelius, Meditations 7.16: The Hegemonikon Does Not Disturb Itself",0.73,"A profound statement on psychological autonomy. The hegemonikon does not disturb itself—it does not frighten itself into desire. If anyone else can frighten or grieve it, let them;","A profound statement on psychological autonomy. The hegemonikon does not disturb itself—it does not frighten itself into desire. If anyone else can frighten or grieve it, let them;"
54586671-0bc6-4d37-aee3-a4ce4fada601,passage_epict_145_en,passage_epict_145,"Epictetus, Discourses IV.5: Only Dogmata Fortify the Soul - No External Harm (English)","Epictetus, Discourses IV.5: Only Dogmata Fortify the Soul - No External Harm",0.72,Greek: • ἀνθρώπου δὲ ψυχὴν οὐδὲν ἄλλο ἢ δόγματα - a human soul [is fortified by] nothing other than DOGMATA • ποῖον τεῖχος οὕτως ἰσχυρόν - what wall is so strong? • ποῖον σῶμα οὕτω,Key phrases: a human soul [is fortified by] nothing other than DOGMATA; what wall is so strong?; what body so adamantine?; what possession unremovabl?; all things everywhere are mo
dbfed922-7cbf-4f36-a138-060e4b99245f,passage_epict_30_en,passage_epict_30,"Epictetus, Discourses I.22: On Self-Interest and Duty to Zeus (English)","Epictetus, Discourses I.22: On Self-Interest and Duty to Zeus",0.72,Greek: • ἐγὼ γὰρ πέφυκα πρὸς τὸ ἐμὸν συμφέρον - for I am naturally [inclined] toward my own advantage • συμφέρει μοι ἀγρὸν ἔχειν - it benefits me to have a field • συμφέρει μοι καὶ,Key phrases: for I am naturally [inclined] toward my own advantage; it benefits me to have a field; it benefits me also to take it [from another]; to steal it from the bathhouse; t
cab4f1f8-33c0-441e-9eaa-c9a116628ec8,passage_epict_29_en,passage_epict_29,"Epictetus, Discourses I.20 (cont.): The Examining Faculty (English)","Epictetus, Discourses I.20 (cont.): The Examining Faculty",0.72,Greek: • τί κυριώτερον ἔχεις - what more authoritative thing do you have? • τί ἐστιν ἐν σοὶ τὸ βουλευόμενον - what is in you that deliberates? • τὸ ἐπισκεπτόμενον ἕκαστα - that whi,Key phrases: what more authoritative thing do you have?; what is in you that deliberates?; that which examines each thing; that it is the ruling [faculty]; if I desire and avoid ac
cd61932a-81b1-4092-b5de-51c0ec6ea663,passage_epict_82_en,passage_epict_82,"Epictetus, Discourses II.19: Purifying Prohairesis Through Teaching (English)","Epictetus, Discourses II.19: Purifying Prohairesis Through Teaching",0.72,Greek: • τὴν αὑτοῦ προαίρεσιν ἐκκαθᾶραι - to purify one's own prohairesis • τὴν δύναμιν τὴν χρηστικὴν τῶν φαντασιῶν ὀρθὴν κατασκευάσαι - to construct the faculty of using impressio,Key phrases: to purify one's own prohairesis; to construct the faculty of using impressions correctly; like with the Sirens; capable of using encountered impressions.  Philosophica
8b30d5b7-b8db-4ccc-81ea-cf2bb3e182ac,passage_epict_113_en,passage_epict_113,"Epictetus, Discourses III.22: Conscience as Authority - Hegemonikon Purer than Sun (English)","Epictetus, Discourses III.22: Conscience as Authority - Hegemonikon Purer than Sun",0.71,"Greek: • τὸ ἡγεμονικὸν αὐτοῦ δεῖ καθαρώτερον εἶναι τοῦ ἡλίου - his hegemonikon must be purer than the sun • τῷ Κυνικῷ ἀντὶ τῶν ὅπλων καὶ τῶν δορυφόρων τὸ συνειδὸς - for the Cynic, ","Key phrases: his hegemonikon must be purer than the sun; for the Cynic, instead of weapons and bodyguards, CONSCIENCE; confers this authority; that he has watched over.  The Cynic'"
6525f0c9-147d-47dc-be19-5de96a07af4f,passage_epict_154_en,passage_epict_154,"Epictetus, Discourses IV.8: The Plant Metaphor - Let the Root Grow (English)","Epictetus, Discourses IV.8: The Plant Metaphor - Let the Root Grow",0.71,"Greek: ἄφες ἡμᾶς γε κατὰ φύσιν / ἔασον τὴν ῥίζαν αὐξηθῆναι (aphes hēmas ge kata physin / eason tēn rhizan auxēthēnai) ""Let us grow according to nature / Let the root grow""  1. Phil","(aphes hēmas ge kata physin / eason tēn rhizan auxēthēnai) ""Let us grow according to nature / Let the root grow""  1. Philosophical development follows natural stages like plant gro"
4010bcee-8ef1-4023-af90-58b14ba463d8,passage_ma_med_7_17_en,passage_ma_med_7_17,"Marcus Aurelius, Meditations 7.17: Happiness Is a Good Hegemonikon (English)","Marcus Aurelius, Meditations 7.17: Happiness Is a Good Hegemonikon",0.71,Marcus defines happiness (εὐδαιμονία) as a good daimon or a good hegemonikon—equating the ethical goal with the condition of the ruling faculty. He then addresses impressions (φαντ,Marcus defines happiness (εὐδαιμονία) as a good daimon or a good hegemonikon—equating the ethical goal with the condition of the ruling faculty. He then addresses impressions (φαντ
39049618-3a91-4b18-bcd7-f56f2d757dbb,passage_epict_127_en,passage_epict_127,"Epictetus, Discourses III.26: Providence for the Virtuous (English)","Epictetus, Discourses III.26: Providence for the Virtuous",0.7,Greek: • φοβεῖταί τις ἀνὴρ ἀγαθός μὴ λείπωσιν αὐτῷ τροφαί - does a good man fear that food will fail him? • τοῖς τυφλοῖς οὐ λείπουσι - the blind are not failed • τοῖς χωλοῖς οὐ λεί,Key phrases: does a good man fear that food will fail him?; the blind are not failed; the lame are not failed; will they fail a good man?.  Will food fail (λείπειν) a good man? Eve
38db793c-6297-4033-b6c8-2a5c2e1dd32f,passage_epict_155_en,passage_epict_155,"Epictetus, Discourses IV.9: True Harm - Loss of Aidōs and Euschēmosynē (English)","Epictetus, Discourses IV.9: True Harm - Loss of Aidōs and Euschēmosynē",0.7,"Greek: αἰδὼς οὐκ ἀπόλλυται; εὐσχημοσύνη οὐκ; (aidōs ouk apollytai? euschēmosynē ouk?) ""Is shame not destroyed? Is propriety not?""  1. αἰδώς (aidōs): sense of shame, reverence - int","(aidōs ouk apollytai? euschēmosynē ouk?) ""Is shame not destroyed? Is propriety not?""  1. (aidōs): sense of shame, reverence - internal moral compass 2. (euschēmosynē): propriety, d"
18d12114-cd4d-409a-b156-a9c9b7ae16d4,passage_epict_161_en,passage_epict_161,"Epictetus, Discourses IV.12: Right Use (Chrēsis) and Training (Gymnasia) (English)","Epictetus, Discourses IV.12: Right Use (Chrēsis) and Training (Gymnasia)",0.7,"Greek: εἰς χρῆσιν αὐτῆς τὴν ὀρθήν / ἀγύμναστός εἰμι (eis chrēsin autēs tēn orthēn / agymmastos eimi) ""For its right use / I am unexercised""  1. χρῆσις ὀρθή (orthē chrēsis): right u","(eis chrēsin autēs tēn orthēn / agymmastos eimi) ""For its right use / I am unexercised""  1. (orthē chrēsis): right use - not just having faculties but using them correctly 2. (agym"
8a00eea8-c176-48cb-874d-0eaf8d59362d,passage_epict_180_en,passage_epict_180,"Epictetus, Fragments: Eudaimonia Is eph' soi - Wealth Is Not (English)","Epictetus, Fragments: Eudaimonia Is eph' soi - Wealth Is Not",0.7,"Greek: εἰ δὲ εὐδαιμονεῖν, ὅτι καὶ ἀγαθὸν καὶ ἐπί σοι (ei de eudaimonein, hoti kai agathon kai epi soi) ""If [you want] to be happy, [know] that it is both good AND up to you""  1. EX","(ei de eudaimonein, hoti kai agathon kai epi soi) ""If [you want] to be happy, [know] that it is both good AND up to you""  1. EXPLICIT DICHOTOMY: (wealth: neither good NOR up to you"
bbc4e105-ef45-4b46-b4ce-ed462efd2704,passage_ma_med_11_37_en,passage_ma_med_11_37,"Marcus Aurelius, Meditations 11.37: The Art of Assent and Aversion for What Is Not Up To Us (English)","Marcus Aurelius, Meditations 11.37: The Art of Assent and Aversion for What Is Not Up To Us",0.7,"Marcus (likely quoting Epictetus) emphasizes the need for an ""art"" (τέχνη) concerning assent, attentiveness in impulses, and complete abstention from desire—while using aversion on","Marcus (likely quoting Epictetus) emphasizes the need for an ""art"" (τέχνη) concerning assent, attentiveness in impulses, and complete abstention from desire—while using aversion on"
