Citation,Frequency,Sample_Context_Type,Sample_Context_ID,Sample_Context_Label
"Epictetus, Discourses I.17",4,node,quote_epictetus_prohairesis_3fabff35,"Epictetus: Other things are not up to us, but prohairesis (moral choice..."
"Epictetus, Discourses I.1",4,node,debate_source_of_action_90c57974,Internal vs External Causes
"Augustine, Confessiones VIII.9-11",4,node,debate_reason_vs_will_830c90c2,Intellectualism vs Voluntarism
1 Corinthians 9:19-23,4,node,person_paul_apostle_1st_century,Paul the Apostle
Galatians 2:15-21,4,node,work_epistle_to_galatians_paul,Epistle to the Galatians
1 Clement 33.1-3,4,node,person_clement_of_rome_1st_century,Clement of Rome
Didache 1.1-6.2,4,node,work_didache_two_ways,Didache
"Cicero, De Fato 21-23",3,node,reformulation_epicureans_reform_9b771ca1,Epicureans's reformulation
"Pelagius, Epistula ad Demetriadem 8-10",3,node,person_pelagius_d420,Pelagius
"Prosper of Aquitaine, Contra Collatorem",3,node,person_prosper_aquitaine_d455,Prosper of Aquitaine
Aristotle,3,node,person_avicenna_y5z6a7b8,Avicenna (Ibn Sīnā)
Talmud,3,node,person_saadia_gaon_g3h4i5j6,Saadia Gaon (Saʿadya ben Yōsēf)
Anselm of Canterbury,3,node,person_bonaventure_e7f8g9h0,Bonaventure (Giovanni di Fidanza)
Paul the Apostle,3,node,person_martin_luther_8f2a3b91,Martin Luther
Chrysippus,3,node,person_baruch_spinoza_8p2k3l91,Baruch Spinoza
"Augustine, Anti-Pelagian writings",3,node,concept_bondage_of_will_1c5x6y24,Bondage of the Will (Servum Arbitrium)
"Pereboom, Derk. Living Without Free Will. Cambridge: Cambridge University Press, 2001.",3,node,argument_four_case_manipulation_2p3q4r5s,Four-Case Manipulation Argument
"Fischer, John Martin, and Mark Ravizza. Responsibility and Control: A Theory of Moral Responsibility. Cambridge: Cambridge University Press, 1998.",3,node,concept_semicompatibilism_6t7u8v9w,Semicompatibilism
"Cicero, De Fato 28-29",2,node,argument_the_lazy_argument_argos_logos_702a77ed,The Lazy Argument (Argos Logos)
"Origen, De Principiis III.1.6-12",2,node,argument_the_lazy_argument_argos_logos_702a77ed,The Lazy Argument (Argos Logos)
"Cicero, De Fato 30-33",2,node,reformulation_chrysippus_reform_1f5d3806,Chrysippus's reformulation
"Alexander of Aphrodisias, De Fato 39 (Bruns 203,8-204,20)",2,node,reformulation_chrysippus_reform_1f5d3806,Chrysippus's reformulation
"Epictetus, Dissertationes II.19.1-5",2,node,argument_the_master_argument_kurieuon_logos_355f4d3f,The Master Argument (Kurieuon Logos)
"Cicero, De Fato 13.17-19",2,node,argument_the_master_argument_kurieuon_logos_355f4d3f,The Master Argument (Kurieuon Logos)
"Alexander of Aphrodisias, In Analytica Priora 177-184",2,node,argument_the_master_argument_kurieuon_logos_355f4d3f,The Master Argument (Kurieuon Logos)
"Epictetus, Dissertationes 2.19.1-5 (Master Argument)",2,node,person_diodorus_cronus_48ef6200,Diodorus Cronus
"Cicero, De Fato 12-15",2,node,person_diodorus_cronus_48ef6200,Diodorus Cronus
"Cicero, De Fato 18-19",2,node,reformulation_cleanthes_stoic_reform_c576fe67,Cleanthes (Stoic)'s reformulation
"Plutarch, De Stoicorum Repugnantiis 1050A-1051C",2,node,reformulation_cleanthes_stoic_reform_c576fe67,Cleanthes (Stoic)'s reformulation
"Alexander of Aphrodisias, De Fato 183,13-184,20",2,node,reformulation_chrysippus_stoic_reform_ddff96ae,Chrysippus (Stoic)'s reformulation
"Sextus Empiricus, Adversus mathematicos IX.112-115",2,node,reformulation_chrysippus_stoic_reform_ddff96ae,Chrysippus (Stoic)'s reformulation
"Sextus Empiricus, Adversus mathematicos IX.112-113",2,node,reformulation_philo_the_dialectician_reform_e7c46946,Philo the Dialectician's reformulation
"Cicero, De Fato 13-15",2,node,reformulation_philo_the_dialectician_reform_e7c46946,Philo the Dialectician's reformulation
"Aristotle, De Interpretatione 9, 18a28-19b4",2,node,argument_aristotles_sea_battle_argument_18a501e5,Aristotle's Sea Battle Argument
"Aristotle, Metaphysics VI.3",2,node,argument_aristotles_sea_battle_argument_18a501e5,Aristotle's Sea Battle Argument
"Alexander of Aphrodisias, In De Interpretatione 177-187 (on future contingents)",2,node,argument_aristotles_sea_battle_argument_18a501e5,Aristotle's Sea Battle Argument
"Cicero, De Fato 20",2,node,reformulation_stoics_reform_f734ea75,Stoics's reformulation
"Alexander of Aphrodisias, De Fato 142,20-143,16",2,node,reformulation_stoics_reform_f734ea75,Stoics's reformulation
"Cicero, De Fato 25-28",2,node,reformulation_carneades_reform_e0c2db9c,Carneades's reformulation
"Cicero, Academica II.105-109",2,node,reformulation_carneades_reform_e0c2db9c,Carneades's reformulation
"Aristotle, Eudemian Ethics II.6-11",2,node,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin)
"Aristotle, Magna Moralia I.9-17",2,node,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin)
"Aspasius, In Ethica Nicomachea III.5, 60.14-61.16 (on voluntary action)",2,node,argument_aristotles_voluntary_action_argument_eph_hemin_e5dd9188,Aristotle's Voluntary Action Argument (Eph' Hemin)
"Aspasius, In Ethica Nicomachea 43.20-44.15 Heylbut",2,node,reformulation_aspasius_reform_6afe87ac,Aspasius's reformulation
"Aspasius, In Ethica Nicomachea 52.10-53.5",2,node,reformulation_aspasius_reform_6afe87ac,Aspasius's reformulation
"Aristotle, Nicomachean Ethics VII.3 (1147a25-b19)",2,node,argument_the_practical_syllogism_1d2e7506,The Practical Syllogism
"Aristotle, De Motu Animalium 7 (701a7-25)",2,node,argument_the_practical_syllogism_1d2e7506,The Practical Syllogism
"Aristotle, De Anima III.10-11",2,node,argument_the_practical_syllogism_1d2e7506,The Practical Syllogism
"Thomas Aquinas, Summa Theologiae I-II q.109 a.2",2,node,reformulation_medieval_scholastics_aquinas_reform_ad897818,Medieval scholastics (Aquinas)'s reformulation
"Thomas Aquinas, Summa contra Gentiles III.69",2,node,reformulation_medieval_scholastics_aquinas_reform_ad897818,Medieval scholastics (Aquinas)'s reformulation
"Cicero, De Fato 22-23",2,node,argument_the_epicurean_swerve_argument_clinamen_454148a8,The Epicurean Swerve Argument (Clinamen)
"Cicero, De Finibus I.19-20",2,node,argument_the_epicurean_swerve_argument_clinamen_454148a8,The Epicurean Swerve Argument (Clinamen)
"Diogenes of Oenoanda, Fragment 32 (Smith edition - on free will and swerve)",2,node,argument_the_epicurean_swerve_argument_clinamen_454148a8,The Epicurean Swerve Argument (Clinamen)
"Diogenes of Oenoanda, Fragment 32 Smith",2,node,reformulation_diogenes_of_oenoanda_reform_8fad58cc,Diogenes of Oenoanda's reformulation
"Diogenes of Oenoanda, Fragment 54 Smith",2,node,reformulation_diogenes_of_oenoanda_reform_8fad58cc,Diogenes of Oenoanda's reformulation
"Cicero, De Fato 23-33",2,node,argument_carneades_autonomous_mental_causation_argument_4e7e9250,Carneades' Autonomous Mental Causation Argument
"Cicero, Academica II.97",2,node,argument_carneades_autonomous_mental_causation_argument_4e7e9250,Carneades' Autonomous Mental Causation Argument
"Plutarch, De Stoicorum Repugnantiis 1045c-d (Carneades on autonomous mental motion)",2,node,argument_carneades_autonomous_mental_causation_argument_4e7e9250,Carneades' Autonomous Mental Causation Argument
"Cicero, De Fato 19-21",2,node,reformulation_cicero_reform_156df2f5,Cicero's reformulation
"Cicero, De Natura Deorum III.93",2,node,reformulation_cicero_reform_156df2f5,Cicero's reformulation
"Cicero, De Fato 39-44",2,node,argument_chrysippus_cylinder_argument_a0eb4559,Chrysippus' Cylinder Argument
"Aulus Gellius, Noctes Atticae VII.2",2,node,argument_chrysippus_cylinder_argument_a0eb4559,Chrysippus' Cylinder Argument
"Alexander of Aphrodisias, De Fato 181.13-182.20 (cylinder analogy criticism)",2,node,argument_chrysippus_cylinder_argument_a0eb4559,Chrysippus' Cylinder Argument
"Cicero, De Fato 28-30 - Lazy/Idle Argument (argos logos) and Chrysippean response via confatalia distinction",2,node,argument_the_cofated_events_argument_confatalia_b7715646,The Co-fated Events Argument (Confatalia)
"Eusebius, Praeparatio Evangelica 6.8.25-38 - From Diogenianus reporting Chrysippus on συνειμαρμένα (co-fated events): recovery co-fated with calling doctor, child co-fated with intercourse",2,node,argument_the_cofated_events_argument_confatalia_b7715646,The Co-fated Events Argument (Confatalia)
"Eusebius, Praeparatio Evangelica 6.8.39-41 - Examples of confatalia: winning fight co-fated with using guard, surviving battle co-fated with fleeing",2,node,argument_the_cofated_events_argument_confatalia_b7715646,The Co-fated Events Argument (Confatalia)
"Origen, Contra Celsum II.20 - Lazy Argument and Stoic response",2,node,argument_the_cofated_events_argument_confatalia_b7715646,The Co-fated Events Argument (Confatalia)
"Origen, De Principiis III.1.6-12 - Discussion of fate, providence, and co-fated events",2,node,argument_the_cofated_events_argument_confatalia_b7715646,The Co-fated Events Argument (Confatalia)
"Origen, De Principiis III.1.2-3",2,node,reformulation_origen_reform_e1e2458e,Origen's reformulation
"Origen, Contra Celsum VII.65",2,node,reformulation_origen_reform_e1e2458e,Origen's reformulation
"Hippolytus, Refutatio Omnium Haeresium I.21",2,node,argument_the_dog_and_cart_argument_9ba60714,The Dog and Cart Argument
"Seneca, Epistulae Morales 107.11",2,node,argument_the_dog_and_cart_argument_9ba60714,The Dog and Cart Argument
"Epictetus, Discourses (implied analogy; not explicitly stated but consistent with I.1, II.2)",2,node,argument_the_dog_and_cart_argument_9ba60714,The Dog and Cart Argument
"Diogenes Laertius, Lives VII.88",2,node,argument_the_dog_and_cart_argument_9ba60714,The Dog and Cart Argument
"Cleanthes, Hymn to Zeus 5-10",2,node,reformulation_cleanthes_reform_4128938b,Cleanthes's reformulation
"Stobaeus, Anthologium II.7.5b",2,node,reformulation_cleanthes_reform_4128938b,Cleanthes's reformulation
"Seneca, De Providentia 5.6-7",2,node,reformulation_seneca_reform_2f1a5d99,Seneca's reformulation
"Seneca, Epistulae Morales 107.10-12",2,node,reformulation_seneca_reform_2f1a5d99,Seneca's reformulation
"Parmenides, Fragment 8.1-49 (DK 28B8 - ""Way of Truth"" on necessity and being)",2,node,argument_parmenides_necessity_argument_4e8e0f34,Parmenides' Necessity Argument
"Plato, Parmenides 127a-142a (interpretation of Parmenidean monism)",2,node,argument_parmenides_necessity_argument_4e8e0f34,Parmenides' Necessity Argument
"Aristotle, Metaphysics I.5, Physics I.2-3",2,node,argument_parmenides_necessity_argument_4e8e0f34,Parmenides' Necessity Argument
"Parmenides, fragments of On Nature (DK 28 B1-B19)",2,node,person_parmenides_of_elea_44a65114,Parmenides of Elea
"Aristotle, Metaphysics A.5, Physics I.2-3 (criticism of Parmenides)",2,node,person_parmenides_of_elea_44a65114,Parmenides of Elea
"Simplicius, Commentary on Aristotle's Physics (preserves fragments)",2,node,person_parmenides_of_elea_44a65114,Parmenides of Elea
"Simplicius, In Physica 103.20-104.6 Diels",2,node,reformulation_melissus_of_samos_reform_e1359785,Melissus of Samos's reformulation
DK 30 B7,2,node,reformulation_melissus_of_samos_reform_e1359785,Melissus of Samos's reformulation
"Aristotle, Physics I.3 186a22-186b9",2,node,reformulation_zeno_of_elea_reform_8d876b50,Zeno of Elea's reformulation
"Simplicius, In Physica 139.10-140.6",2,node,reformulation_zeno_of_elea_reform_8d876b50,Zeno of Elea's reformulation
"Leucippus, Fragment 2 (DK 67 B2) - ""Nothing occurs at random, but everything for a reason and by necessity""",2,node,argument_democritean_atomistic_determinism_c52067ec,Democritean Atomistic Determinism
"Democritus, Fragments (DK 68 A1, A66, A68, A69 - on necessity and vortex motion)",2,node,argument_democritean_atomistic_determinism_c52067ec,Democritean Atomistic Determinism
"Aristotle, De Generatione et Corruptione I.2",2,node,argument_democritean_atomistic_determinism_c52067ec,Democritean Atomistic Determinism
Diogenes Laertius IX.30-49,2,node,argument_democritean_atomistic_determinism_c52067ec,Democritean Atomistic Determinism
"Diogenes of Oenoanda, Inscription Fragment 32 (Smith edition - against atomistic determinism)",2,node,argument_democritean_atomistic_determinism_c52067ec,Democritean Atomistic Determinism
Democritus fragments (DK 68 A1-B299),2,node,person_leucippus_and_democritus_8a42be84,Leucippus and Democritus
"Aristotle, Metaphysics A.4, De Generatione et Corruptione I.8",2,node,person_leucippus_and_democritus_8a42be84,Leucippus and Democritus
"Simplicius, Commentary on Aristotle's Physics",2,node,person_leucippus_and_democritus_8a42be84,Leucippus and Democritus
"Diogenes Laertius, Lives IX.30-49 (on Democritus)",2,node,person_leucippus_and_democritus_8a42be84,Leucippus and Democritus
Diogenes Laertius X.134-135,2,node,reformulation_epicurus_reform_6fa6ecf5,Epicurus's reformulation
"Cicero, De Natura Deorum I.69-70",2,node,reformulation_epicurus_reform_6fa6ecf5,Epicurus's reformulation
"Cleanthes, Hymn to Zeus (Stobaeus, Anthologium I.1.12)",2,node,argument_cleanthes_hymn_to_zeus_argument_f71f5b37,Cleanthes' Hymn to Zeus Argument
"Epictetus, Enchiridion 53 (quotes Cleanthes: ""Lead me, Zeus, and thou Destiny"")",2,node,argument_cleanthes_hymn_to_zeus_argument_f71f5b37,Cleanthes' Hymn to Zeus Argument
"Seneca, Epistulae 107.11 (quotes the maxim)",2,node,argument_cleanthes_hymn_to_zeus_argument_f71f5b37,Cleanthes' Hymn to Zeus Argument
"Marcus Aurelius, Meditations IV.23, V.8, X.25 (echoes Cleanthes on providence)",2,node,argument_cleanthes_hymn_to_zeus_argument_f71f5b37,Cleanthes' Hymn to Zeus Argument
"Cleanthes, Hymn to Zeus (SVF I.537)",2,node,person_cleanthes_of_assos_8810c569,Cleanthes of Assos
"Hippolytus, Refutation of All Heresies I.21 (Dog and Cart analogy)",2,node,person_cleanthes_of_assos_8810c569,Cleanthes of Assos
"Marcus Aurelius, Meditations V.8",2,node,reformulation_marcus_aurelius_reform_d0f5561d,Marcus Aurelius's reformulation
"Marcus Aurelius, Meditations VII.57",2,node,reformulation_marcus_aurelius_reform_d0f5561d,Marcus Aurelius's reformulation
"Epictetus, Discourses I.1, I.17, I.22, II.2, II.23, III.22, IV.1 (on prohairesis)",2,node,argument_epictetus_prohairesis_argument_aa13b932,Epictetus' Prohairesis Argument
"Epictetus, Enchiridion 1-5",2,node,argument_epictetus_prohairesis_argument_aa13b932,Epictetus' Prohairesis Argument
Arrian's records of Epictetus' teachings,2,node,argument_epictetus_prohairesis_argument_aa13b932,Epictetus' Prohairesis Argument
"Epictetus, Discourses I.1 (On what is in our power)",2,node,person_epictetus_of_hierapolis_3c385bc2,Epictetus of Hierapolis
"Epictetus, Enchiridion 1-5 (dichotomy of control: eph' hêmin vs. ouk eph' hêmin)",2,node,person_epictetus_of_hierapolis_3c385bc2,Epictetus of Hierapolis
"Plato, Timaeus 46e-48e (Reason and Necessity), 68e-69a (auxiliary causes)",2,node,argument_platos_timaeus_necessity_argument_526846fa,Plato's Timaeus Necessity Argument
"Aristotle, Metaphysics I.6 (criticizes Plato's account)",2,node,argument_platos_timaeus_necessity_argument_526846fa,Plato's Timaeus Necessity Argument
"Plutarch, De Animae Procreatione in Timaeo 1014c-1030c (on Timaeus cosmology)",2,node,argument_platos_timaeus_necessity_argument_526846fa,Plato's Timaeus Necessity Argument
"Plutarch, De animae procreatione in Timaeo 1015F-1016A",2,node,reformulation_plutarch_reform_5724dac6,Plutarch's reformulation
"Plutarch, De Stoicorum Repugnantiis 1054C-1055A",2,node,reformulation_plutarch_reform_5724dac6,Plutarch's reformulation
"Plotinus, Ennead III.2.5",2,node,reformulation_neoplatonists_plotinus_proclus_reform_98f42f33,"Neoplatonists (Plotinus, Proclus)'s reformulation"
"Proclus, De providentia et fato 1.5-1.8",2,node,reformulation_neoplatonists_plotinus_proclus_reform_98f42f33,"Neoplatonists (Plotinus, Proclus)'s reformulation"
"Plato, Laws X 891e-899d (soul as self-moving principle)",2,node,argument_platos_laws_x_selfmotion_argument_8c31a166,Plato's Laws X Self-Motion Argument
"Plato, Phaedrus 245c-246a (soul as self-moving, immortal)",2,node,argument_platos_laws_x_selfmotion_argument_8c31a166,Plato's Laws X Self-Motion Argument
"Aristotle, Physics VIII.4-6, 254b7-256a3 (critique of self-motion; unmoved mover)",2,node,argument_platos_laws_x_selfmotion_argument_8c31a166,Plato's Laws X Self-Motion Argument
"Aristotle, Metaphysics XII.6-7 (1071b3-1072b3)",2,node,reformulation_aristotle_reform_bfee6d58,Aristotle's reformulation
"Aristotle, Physics VIII.6 258b10-259a10",2,node,reformulation_aristotle_reform_bfee6d58,Aristotle's reformulation
"Plotinus, Ennead V.1.1-3",2,node,reformulation_plotinus_reform_b06e63cb,Plotinus's reformulation
"Plotinus, Ennead IV.8.1",2,node,reformulation_plotinus_reform_b06e63cb,Plotinus's reformulation
"Aristotle, Metaphysics IX.1-10, especially IX.3-5 (potentiality and actuality)",2,node,argument_aristotles_potentialityactuality_argument_20c5ac91,Aristotle's Potentiality-Actuality Argument
"Aristotle, Physics III.1-3",2,node,argument_aristotles_potentialityactuality_argument_20c5ac91,Aristotle's Potentiality-Actuality Argument
"Aristotle, De Interpretatione 9, 19a7-19b4 (potentiality applied to future contingents)",2,node,argument_aristotles_potentialityactuality_argument_20c5ac91,Aristotle's Potentiality-Actuality Argument
"Thomas Aquinas, Summa Theologiae I q.2 a.3",2,node,reformulation_thomas_aquinas_reform_24cffd94,Thomas Aquinas's reformulation
"Thomas Aquinas, Summa contra Gentiles I.13",2,node,reformulation_thomas_aquinas_reform_24cffd94,Thomas Aquinas's reformulation
"Alexander of Aphrodisias, De Fato 169-212 (esp. 181-192 on to eph' hêmin)",2,node,argument_alexander_of_aphrodisias_freedom_argument_8058a30c,Alexander of Aphrodisias' Freedom Argument
"Alexander, Mantissa 169-172",2,node,argument_alexander_of_aphrodisias_freedom_argument_8058a30c,Alexander of Aphrodisias' Freedom Argument
"Alexander, In Aristotelis Analyticorum Priorum 177-184",2,node,argument_alexander_of_aphrodisias_freedom_argument_8058a30c,Alexander of Aphrodisias' Freedom Argument
"Tertullian, Adversus Marcionem II.5",2,node,reformulation_christian_church_fathers_reform_1fd435f1,Christian Church Fathers's reformulation
"Lactantius, De Ira Dei 20",2,node,reformulation_christian_church_fathers_reform_1fd435f1,Christian Church Fathers's reformulation
"Plotinus, Enneads VI.8 (On Free Will)",2,node,argument_plotinus_freedom_argument_7c561972,Plotinus' Freedom Argument
"Plotinus, Enneads III.2-3 (On Providence)",2,node,argument_plotinus_freedom_argument_7c561972,Plotinus' Freedom Argument
"Plotinus, Enneads VI.8 (On Free Will and the Will of the One)",2,node,person_plotinus_78aaedc3,Plotinus
"Porphyry, De abstinentia III.20",2,node,reformulation_porphyry_reform_7c9edeb4,Porphyry's reformulation
"Porphyry, Letter to Anebo 10",2,node,reformulation_porphyry_reform_7c9edeb4,Porphyry's reformulation
"Proclus, De providentia et fato 2.13-17",2,node,reformulation_proclus_reform_59f4bb4f,Proclus's reformulation
"Proclus, Elements of Theology proposition 124",2,node,reformulation_proclus_reform_59f4bb4f,Proclus's reformulation
"Justin Martyr, First Apology 43-44, 61 (PG 6:391-396)",2,node,argument_justin_martyrs_apologetic_argument_for_free_will_45c2dde2,Justin Martyr's Apologetic Argument for Free Will
"Justin Martyr, Second Apology 7 (PG 6:451-454)",2,node,argument_justin_martyrs_apologetic_argument_for_free_will_45c2dde2,Justin Martyr's Apologetic Argument for Free Will
"Justin Martyr, Dialogue with Trypho 88, 102, 141 (PG 6:680-684, 712-716, 796-800)",2,node,argument_justin_martyrs_apologetic_argument_for_free_will_45c2dde2,Justin Martyr's Apologetic Argument for Free Will
"Tatian, Oratio ad Graecos 7.1-3, 11.1-4 (on free will and human responsibility, influenced by Justin)",2,node,argument_justin_martyrs_apologetic_argument_for_free_will_45c2dde2,Justin Martyr's Apologetic Argument for Free Will
"Tatian, Oratio ad Graecos 7-11",2,node,reformulation_tatian_the_assyrian_reform_1e3e9386,Tatian the Assyrian's reformulation
"Tatian, Oratio ad Graecos 15",2,node,reformulation_tatian_the_assyrian_reform_1e3e9386,Tatian the Assyrian's reformulation
"Athenagoras, Legatio pro Christianis 24-26",2,node,reformulation_athenagoras_of_athens_reform_b22f68ec,Athenagoras of Athens's reformulation
"Athenagoras, De Resurrectione 13",2,node,reformulation_athenagoras_of_athens_reform_b22f68ec,Athenagoras of Athens's reformulation
"Irenaeus, Adversus Haereses IV.37-39 (Against Heresies - on human freedom and obedience)",2,node,argument_irenaeuss_antignostic_argument_for_free_will_f54fe920,Irenaeus's Anti-Gnostic Argument for Free Will
"Symeon the New Theologian, Hymns of Divine Love 25",2,node,reformulation_eastern_orthodox_tradition_reform_542663db,Eastern Orthodox tradition's reformulation
"Gregory Palamas, Triads I.3.20",2,node,reformulation_eastern_orthodox_tradition_reform_542663db,Eastern Orthodox tradition's reformulation
"Origen, De Principiis I.5-8, III.1 (GCS 22; SC 252, 268, 269, 312; PG 11:115-414)",2,node,argument_origens_de_principiis_argument_for_free_will_93d043fc,Origen's De Principiis Argument for Free Will
"Origen, Contra Celsum IV.3, VII.50-51 (GCS 2-3; SC 132, 136, 147, 150)",2,node,argument_origens_de_principiis_argument_for_free_will_93d043fc,Origen's De Principiis Argument for Free Will
"Origen, Philocalia 21-27 (on free will; SC 226)",2,node,argument_origens_de_principiis_argument_for_free_will_93d043fc,Origen's De Principiis Argument for Free Will
"Origen, Commentary on Romans III.1 (on Romans 9 and divine foreknowledge)",2,node,argument_origens_de_principiis_argument_for_free_will_93d043fc,Origen's De Principiis Argument for Free Will
"Eusebius, Historia Ecclesiastica VI.19 (biographical context)",2,node,argument_origens_de_principiis_argument_for_free_will_93d043fc,Origen's De Principiis Argument for Free Will
"Gregory of Nyssa, De Hominis Opificio 17",2,node,reformulation_gregory_of_nyssa_reform_19459ad8,Gregory of Nyssa's reformulation
"Gregory of Nyssa, On the Soul and the Resurrection 20",2,node,reformulation_gregory_of_nyssa_reform_19459ad8,Gregory of Nyssa's reformulation
"Evagrius Ponticus, Praktikos 6-15",2,node,reformulation_evagrius_ponticus_reform_493066e2,Evagrius Ponticus's reformulation
"Evagrius Ponticus, Kephalaia Gnostica I.36",2,node,reformulation_evagrius_ponticus_reform_493066e2,Evagrius Ponticus's reformulation
"Didymus the Blind, De Spiritu Sancto 38-41",2,node,reformulation_didymus_the_blind_reform_8531a2f7,Didymus the Blind's reformulation
"Didymus the Blind, Commentary on Genesis fragment 10 (Frag. Tura 20)",2,node,reformulation_didymus_the_blind_reform_8531a2f7,Didymus the Blind's reformulation
"Tertullian, Adversus Marcionem II.5-9, V.17 (CCL 1; SC 365, 368; PL 2:288-360)",2,node,argument_tertullians_antimarcionite_argument_for_free_will_f49cad73,Tertullian's Anti-Marcionite Argument for Free Will
"Lactantius, Divinae Institutiones II.8-12",2,node,reformulation_lactantius_reform_0a4443f7,Lactantius's reformulation
"Lactantius, De Ira Dei 21",2,node,reformulation_lactantius_reform_0a4443f7,Lactantius's reformulation
"Augustine, De Libero Arbitrio II.1-8",2,node,reformulation_early_augustine_reform_9ebd9b25,Early Augustine's reformulation
"Augustine, Contra Academicos III.15",2,node,reformulation_early_augustine_reform_9ebd9b25,Early Augustine's reformulation
"Augustine, De Libero Arbitrio I-III (complete treatise on free will)",2,node,argument_augustines_early_antimanichean_argument_de_libero_arbitrio_debb866c,Augustine's Early Anti-Manichean Argument (De Libero Arbitrio)
"Augustine, Contra Fortunatum Manichaeum (CSEL 25; PL 42:111-130)",2,node,argument_augustines_early_antimanichean_argument_de_libero_arbitrio_debb866c,Augustine's Early Anti-Manichean Argument (De Libero Arbitrio)
